index,act_actual_x_L,act_actual_y_L,act_actual_z_L,act_actual_x_R,act_actual_y_R,act_actual_z_R,act_actual_i_L,act_actual_j_L,act_actual_k_L,act_actual_i_R,act_actual_j_R,act_actual_k_R,act_d_x,act_d_y,act_d_z,act_d_norm,act_c_x,act_c_y,act_c_z,act_c_norm,act_dot_c_d,act_dot_n,act_angle_n_deg,act_A_L,act_B_L,act_C_L,act_A_R,act_B_R,act_C_R,act_A_c,act_B_c,act_C_c,nom_nominal_x_L,nom_nominal_y_L,nom_nominal_z_L,nom_nominal_x_R,nom_nominal_y_R,nom_nominal_z_R,nom_nominal_i_L,nom_nominal_j_L,nom_nominal_k_L,nom_nominal_i_R,nom_nominal_j_R,nom_nominal_k_R,nom_d_x,nom_d_y,nom_d_z,nom_d_norm,nom_c_x,nom_c_y,nom_c_z,nom_c_norm,nom_dot_c_d,nom_dot_n,nom_angle_n_deg,nom_A_L,nom_B_L,nom_C_L,nom_A_R,nom_B_R,nom_C_R,nom_A_c,nom_B_c,nom_C_c,delta_A_L,delta_B_L,delta_C_L,delta_A_R,delta_B_R,delta_C_R,delta_A_c,delta_B_c,delta_C_c
20,17.0,83.6748,0.22633,27.0,83.6748,0.06035,0.0,-0.00877,0.99996,0.0,0.00042,1.0,10.0,0.0,-0.16598000000000002,10.001377373162159,0.00918999656732173,0.0,-0.0,0.00918999656732173,0.0918999656732173,0.9999577710899059,0.5265554290219002,0.5024912030415553,-0.0,0.0,-0.024064225980518158,-0.0,-0.0,90.0,-0.0,90.0,17.0,83.6748,0.0,27.0,83.6748,0.0,0.0,0.0,1.0,0.0,0.0,1.0,10.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,,,,0.5024912030415553,0.0,0.0,-0.024064225980518158,0.0,-0.0,,,
21,17.0,81.65854,0.2085,27.0,81.65854,0.06004,0.0,-0.00883,0.99996,0.0,-0.00038,1.0,10.0,0.0,-0.14845999999999998,10.001101957864444,0.008450023164574326,0.0,0.0,0.008450023164574326,0.08450023164574326,0.9999642979169397,0.4841564259289955,0.5059288210962403,-0.0,0.0,0.02177239516699337,-0.0,0.0,90.0,-0.0,90.0,17.0,81.65854,0.0,27.0,81.65854,0.0,0.0,0.0,1.0,0.0,0.0,1.0,10.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,,,,0.5059288210962403,0.0,0.0,0.02177239516699337,0.0,0.0,,,
22,17.0,79.64228,0.19083,27.0,79.64228,0.05993,0.0,-0.00877,0.99996,0.0,7e-05,1.0,10.0,0.0,-0.13090000000000002,10.00085670380293,0.008840010816279215,0.0,-0.0,0.008840010816279215,0.08840010816279215,0.9999609263410085,0.5065019076015219,0.5024912030415553,-0.0,0.0,-0.0040107045593649445,-0.0,-0.0,90.0,-0.0,90.0,17.0,79.64228,0.0,27.0,79.64228,0.0,0.0,0.0,1.0,0.0,0.0,1.0,10.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,,,,0.5024912030415553,0.0,0.0,-0.0040107045593649445,0.0,-0.0,,,
23,17.0,77.62602,0.17306,27.0,77.62602,0.06004,0.0,-0.00883,0.99996,0.0,6e-05,1.0,10.0,0.0,-0.11301999999999998,10.00063865562595,0.008890006605136783,0.0,-0.0,0.008890006605136783,0.08890006605136783,0.999960483110488,0.5093665678629974,0.5059288210962403,-0.0,0.0,-0.0034377467666596435,-0.0,-0.0,90.0,-0.0,90.0,17.0,77.62602,0.0,27.0,77.62602,0.0,0.0,0.0,1.0,0.0,0.0,1.0,10.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,,,,0.5059288210962403,0.0,0.0,-0.0034377467666596435,0.0,-0.0,,,
24,17.0,75.60976,0.15545,27.0,75.60976,0.0599,0.0,-0.00858,0.99996,0.0,-0.00026,1.0,10.0,0.0,-0.09555,10.000456479706314,0.008320036668063031,0.0,0.0,0.008320036668063031,0.08320036668063031,0.999965387895922,0.4767084864489135,0.49160538878576443,-0.0,0.0,0.014896902337724543,-0.0,0.0,90.0,-0.0,90.0,17.0,75.60976,0.0,27.0,75.60976,0.0,0.0,0.0,1.0,0.0,0.0,1.0,10.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,,,,0.49160538878576443,0.0,0.0,0.014896902337724543,0.0,0.0,,,
25,17.0,73.5935,0.13791,27.0,73.5935,0.05929,0.0,-0.00903,0.99996,0.0,-0.00021,1.0,10.0,0.0,-0.07862,10.000309050444391,0.008820001403095362,0.0,0.0,0.008820001403095362,0.08820001403095362,0.9999611030311375,0.5053554079790266,0.5173875214992177,-0.0,0.0,0.012032113520875222,-0.0,0.0,90.0,-0.0,90.0,17.0,73.5935,0.0,27.0,73.5935,0.0,0.0,0.0,1.0,0.0,0.0,1.0,10.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,,,,0.5173875214992177,0.0,0.0,0.012032113520875222,0.0,0.0,,,
26,17.0,71.57724,0.1197,27.0,71.57724,0.05994,0.0,-0.00874,0.99996,0.0,0.00043,1.0,10.0,0.0,-0.05976,10.000178561285793,0.009169998507765459,0.0,-0.0,0.009169998507765459,0.09169998507765459,0.9999579546797793,0.5254095763280794,0.5007723926560053,-0.0,0.0,-0.024637183672153718,-0.0,-0.0,90.0,-0.0,90.0,17.0,71.57724,0.0,27.0,71.57724,0.0,0.0,0.0,1.0,0.0,0.0,1.0,10.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,,,,0.5007723926560053,0.0,0.0,-0.024637183672153718,0.0,-0.0,,,
27,17.0,69.56098,0.10217,27.0,69.56098,0.05939,0.0,-0.00889,0.99996,0.0,0.0005,1.0,10.0,0.0,-0.04278,10.000091506001333,0.009389983363024278,0.0,-0.0,0.009389983363024278,0.09389983363024279,0.9999559131343951,0.5380143228780553,0.50936643550842,-0.0,0.0,-0.028647887369217372,-0.0,-0.0,90.0,-0.0,90.0,17.0,69.56098,0.0,27.0,69.56098,0.0,0.0,0.0,1.0,0.0,0.0,1.0,10.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,,,,0.50936643550842,0.0,0.0,-0.028647887369217372,0.0,-0.0,,,
28,17.0,67.54472,0.08434,27.0,67.54472,0.05996,0.0,-0.00864,0.99996,0.0,-0.00034,1.0,10.0,0.0,-0.02438,10.000029719175838,0.008300035317903392,0.0,0.0,0.008300035317903392,0.08300035317903393,0.9999655541136012,0.4755624539281199,0.49504301821181296,-0.0,0.0,0.01948056428379694,-0.0,0.0,90.0,-0.0,90.0,17.0,67.54472,0.0,27.0,67.54472,0.0,0.0,0.0,1.0,0.0,0.0,1.0,10.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,,,,0.49504301821181296,0.0,0.0,0.01948056428379694,0.0,0.0,,,
29,17.0,65.52846,0.06656,27.0,65.52846,0.05964,0.0,-0.00913,0.99996,0.0,0.00023,1.0,10.0,0.0,-0.006919999999999996,10.000002394319713,0.009359974834703709,0.0,-0.0,0.009359974834703709,0.09359974834703709,0.9999561944760851,0.5362948852917166,0.5231168562372236,-0.0,0.0,-0.01317802905563636,-0.0,-0.0,90.0,-0.0,90.0,17.0,65.52846,0.0,27.0,65.52846,0.0,0.0,0.0,1.0,0.0,0.0,1.0,10.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,,,,0.5231168562372236,0.0,0.0,-0.01317802905563636,0.0,-0.0,,,
