Actual X,Actual Y,Actual Z,Actual surface normal X,Actual surface normal Y,mATERIALCONDITION mat
37.96578,22.24717,-5.00000,0.86315,0.50494,0.00361
38.37013,21.54435,-5.00000,0.87016,0.49277,0.00462
38.76899,20.82451,-5.00000,0.88003,0.47492,0.00775
39.14498,20.10397,-5.00000,0.89235,0.45135,0.00564
39.50939,19.37332,-5.00000,0.89548,0.44510,0.00370
39.87196,18.63867,-5.00000,0.90174,0.43227,0.01352
40.19898,17.90402,-5.00000,0.92440,0.38142,0.00609
40.52063,17.14613,-5.00000,0.90593,0.42343,-0.00070
40.86022,16.39777,-5.00000,0.94877,0.31596,0.02807
40.93949,15.55448,-5.00000,0.99960,-0.02811,-0.20495
41.05082,14.71461,-5.00000,0.93077,0.36561,-0.39146
41.44175,14.00114,-5.00000,0.84571,0.53364,-0.25693
41.87448,13.28221,-5.00000,0.87734,0.47987,-0.06955
42.21440,12.53761,-5.00000,0.94240,0.33448,0.03673
42.42947,11.75669,-5.00000,0.97582,0.21859,0.02795
42.60659,10.95586,-5.00000,0.97180,0.23580,-0.00758
42.81505,10.17153,-5.00000,0.96434,0.26467,0.00653
43.01216,9.37511,-5.00000,0.97855,0.20603,0.02198
43.16586,8.56858,-5.00000,0.98344,0.18125,0.00817
43.31520,7.78345,-5.00000,0.98242,0.18670,0.00915
43.45899,6.97534,-5.00000,0.98720,0.15951,0.01548
43.57895,6.16213,-5.00000,0.99085,0.13499,0.01277
43.68412,5.35016,-5.00000,0.99245,0.12261,0.01084
43.77841,4.53399,-5.00000,0.99442,0.10551,0.01284
43.85583,3.71441,-5.00000,0.99656,0.08287,0.01303
43.91619,2.89569,-5.00000,0.99787,0.06530,0.01163
43.96340,2.06977,-5.00000,0.99884,0.04816,0.01205
43.99454,1.25488,-5.00000,0.99961,0.02809,0.01229
44.00976,0.44072,-5.00000,0.99996,0.00946,0.01175
44.00990,-0.37137,-5.00000,0.99996,-0.00904,0.01125
43.99576,-1.17270,-5.00000,0.99966,-0.02597,0.01123
43.96685,-1.99009,-5.00000,0.99898,-0.04524,0.01182
43.92167,-2.80710,-5.00000,0.99790,-0.06484,0.01135
43.86063,-3.63151,-5.00000,0.99657,-0.08270,0.01089
43.80543,-4.24621,-5.00000,0.99536,-0.09627,0.01100
43.74162,-4.86007,-5.00000,0.99386,-0.11065,0.01109
43.64271,-5.67414,-5.00000,0.99146,-0.13039,0.01033
43.52978,-6.47892,-5.00000,0.98912,-0.14710,0.00959
43.40213,-7.28686,-5.00000,0.98618,-0.16570,0.00981
43.26006,-8.08359,-5.00000,0.98275,-0.18492,0.00898
43.10181,-8.88550,-5.00000,0.97934,-0.20222,0.00819
42.92847,-9.68868,-5.00000,0.97553,-0.21989,0.00814
42.74311,-10.47516,-5.00000,0.97098,-0.23918,0.00780
42.53989,-11.26712,-5.00000,0.96629,-0.25745,0.00647
42.31744,-12.07300,-5.00000,0.96153,-0.27469,0.00574
41.97734,-13.20590,-5.00000,0.95352,-0.30134,0.00553
41.72789,-13.96934,-5.00000,0.94773,-0.31907,0.00413
41.46000,-14.74409,-5.00000,0.94229,-0.33479,0.00379
41.17730,-15.51635,-5.00000,0.93558,-0.35311,0.00396
40.88105,-16.27784,-5.00000,0.92828,-0.37187,0.00289
40.56739,-17.04170,-5.00000,0.92200,-0.38719,0.00182
40.24267,-17.79525,-5.00000,0.91445,-0.40469,0.00191
39.90297,-18.54286,-5.00000,0.90640,-0.42242,0.00117
