index,act_x_L,act_y_L,act_z_L,act_x_R,act_y_R,act_z_R,delta_x,delta_y,delta_z,abstand,winkel_beta1_ausrichtung,winkel_beta2_maschine
13,17.0,97.78862,0.35095,27.0,97.78862,0.06218,10.0,0.0,-0.28876999999999997,10.004168536810043,91.6540705611164,-1.6540705611163986
14,17.0,95.77236,0.33311,27.0,95.77236,0.06118,10.0,0.0,-0.27193,10.003696612997617,91.55766026588235,-1.5576602658823475
15,17.0,93.7561,0.31517,27.0,93.7561,0.06132,10.0,0.0,-0.25385,10.003221472230834,91.45414106795431,-1.4541410679543105
16,17.0,91.73984,0.29749,27.0,91.73984,0.06128,10.0,0.0,-0.23620999999999998,10.00278936917598,91.35313198457436,-1.353131984574361
17,17.0,89.72358,0.27978,27.0,89.72358,0.06123,10.0,0.0,-0.21854999999999997,10.002387920016899,91.2519999511283,-1.2519999511282975
18,17.0,87.70732,0.26212,27.0,87.70732,0.06106,10.0,0.0,-0.20106000000000002,10.002021051947452,91.15183374954589,-1.1518337495458866
19,17.0,85.69106,0.24403,27.0,85.69106,0.06029,10.0,0.0,-0.18374,10.001687876933573,91.05263420564003,-1.0526342056400324
20,17.0,83.6748,0.22633,27.0,83.6748,0.06035,10.0,0.0,-0.16598000000000002,10.001377373162159,90.9509080317455,-0.9509080317454988
21,17.0,81.65854,0.2085,27.0,81.65854,0.06004,10.0,0.0,-0.14845999999999998,10.001101957864444,90.85055065814826,-0.8505506581482649
22,17.0,79.64228,0.19083,27.0,79.64228,0.05993,10.0,0.0,-0.13090000000000002,10.00085670380293,90.74995892110458,-0.7499589211045787
23,17.0,77.62602,0.17306,27.0,77.62602,0.06004,10.0,0.0,-0.11301999999999998,10.00063865562595,90.64752933023223,-0.6475293302322314
24,17.0,75.60976,0.15545,27.0,75.60976,0.0599,10.0,0.0,-0.09555,10.000456479706314,90.54744451345215,-0.5474445134521488
25,17.0,73.5935,0.13791,27.0,73.5935,0.05929,10.0,0.0,-0.07862,10.000309050444391,90.45045013775373,-0.45045013775373377
26,17.0,71.57724,0.1197,27.0,71.57724,0.05994,10.0,0.0,-0.05976,10.000178561285793,90.3423955024672,-0.3423955024671983
27,17.0,69.56098,0.10217,27.0,69.56098,0.05939,10.0,0.0,-0.04278,10.000091506001333,90.24510984948928,-0.24510984948928183
28,17.0,67.54472,0.08434,27.0,67.54472,0.05996,10.0,0.0,-0.02438,10.000029719175838,90.13968683369441,-0.13968683369441237
29,17.0,65.52846,0.06656,27.0,65.52846,0.05964,10.0,0.0,-0.006919999999999996,10.000002394319713,90.03964867309428,-0.03964867309427689
30,17.0,63.5122,0.04855,27.0,63.5122,0.05978,10.0,0.0,0.011229999999999997,10.000006305643012,89.93565686665514,0.06434313334486319
31,17.0,61.49593,0.03123,27.0,61.49593,0.05976,10.0,0.0,0.02853,10.000040697962184,89.83653558456037,0.16346441543963408
32,17.0,59.47967,0.01353,27.0,59.47967,0.0595,10.0,0.0,0.04597,10.000105661486783,89.73661315690075,0.263386843099255
33,17.0,57.46341,-0.00416,27.0,57.46341,0.05952,10.0,0.0,0.06368,10.00020275506452,89.63514540779846,0.3648545922015387
34,17.0,55.44715,-0.02199,27.0,55.44715,0.05967,10.0,0.0,0.08166,10.000333412221815,89.53213306398825,0.46786693601174534
35,17.0,53.43089,-0.03955,27.0,53.43089,0.05919,10.0,0.0,0.09874,10.000487467498772,89.4342798577368,0.5657201422632028
36,17.0,51.41463,-0.0576,27.0,51.41463,0.05955,10.0,0.0,0.11715,10.000686182582673,89.32881064683028,0.6711893531697228
37,17.0,49.39837,-0.07497,27.0,49.39837,0.05945,10.0,0.0,0.13441999999999998,10.000903396013783,89.22987651341134,0.770123486588659
38,17.0,47.38211,-0.0924,27.0,47.38211,0.05979,10.0,0.0,0.15219,10.001158022754165,89.12808284465763,0.8719171553423735
39,17.0,45.36585,-0.11039,27.0,45.36585,0.05904,10.0,0.0,0.16943,10.001435223251711,89.02933048242967,0.9706695175703288
40,17.0,43.34959,-0.12768,27.0,43.34959,0.05961,10.0,0.0,0.18728999999999998,10.001753723427708,88.92703279061507,1.0729672093849274
41,17.0,41.33333,-0.14536,27.0,41.33333,0.05894,10.0,0.0,0.20429999999999998,10.002086706782741,88.82961004079317,1.1703899592068296
42,17.0,39.31707,-0.1628,27.0,39.31707,0.05969,10.0,0.0,0.22249,10.002474783777263,88.72543648448648,1.2745635155135204
43,17.0,37.30081,-0.18086,27.0,37.30081,0.05939,10.0,0.0,0.24025,10.002885586794442,88.62373365038579,1.3762663496142125
44,17.0,35.28455,-0.19844,27.0,35.28455,0.05956,10.0,0.0,0.258,10.003327646338493,88.52209674754981,1.47790325245019
45,17.0,33.26829,-0.21615,27.0,33.26829,0.05914,10.0,0.0,0.27529000000000003,10.003788511564007,88.42310275365314,1.57689724634686
46,17.0,31.25203,-0.23404,27.0,31.25203,0.05946,10.0,0.0,0.2935,10.004306185338391,88.31885148683772,1.6811485131622845
47,17.0,29.23577,-0.25141,27.0,29.23577,0.05927,10.0,0.0,0.31068,10.004824939118125,88.22050710920897,1.7794928907910332
48,17.0,27.21951,-0.26942,27.0,27.21951,0.05923,10.0,0.0,0.32865,10.005399083619803,88.11765172449682,1.8823482755031762
49,17.0,25.20325,-0.28678,27.0,25.20325,0.05939,10.0,0.0,0.34617,10.005989889506186,88.01738369496867,1.9826163050313284
50,17.0,23.18699,-0.30429,27.0,23.18699,0.05982,10.0,0.0,0.36411,10.006626609007652,87.91472457213979,2.0852754278602106
51,17.0,21.17073,-0.32188,27.0,21.17073,0.05964,10.0,0.0,0.38151999999999997,10.007275229072098,87.81511109881603,2.1848889011839674
52,17.0,19.15447,-0.33964,27.0,19.15447,0.05964,10.0,0.0,0.39927999999999997,10.007968051427822,87.71350867539238,2.286491324607624
53,17.0,17.13821,-0.35734,27.0,17.13821,0.05968,10.0,0.0,0.41702,10.008691506905386,87.61203503028639,2.3879649697136074
54,17.0,15.12195,-0.37499,27.0,15.12195,0.06061,10.0,0.0,0.4356,10.009482871757161,87.50577262382599,2.4942273761740097
55,17.0,13.10569,-0.3927,27.0,13.10569,0.0596,10.0,0.0,0.4523,10.010223538463064,87.41027690809497,2.5897230919050287
56,17.0,11.08943,-0.41019,27.0,11.08943,0.05985,10.0,0.0,0.47004,10.011040785133183,87.30884993423787,2.6911500657621303
57,17.0,9.07317,-0.42758,27.0,9.07317,0.05994,10.0,0.0,0.48752,10.011876734678669,87.20892599279854,2.791074007201459
58,17.0,7.05691,-0.44541,27.0,7.05691,0.05913,10.0,0.0,0.50454,10.012719940735384,87.11164794782563,2.888352052174369
59,17.0,5.04065,-0.46342,27.0,5.04065,0.05983,10.0,0.0,0.52325,10.013680170771384,87.00472993294125,2.9952700670587546
60,17.0,3.02439,-0.48076,27.0,3.02439,0.0598,10.0,0.0,0.54056,10.014599598266523,86.90583077142476,3.0941692285752396
61,17.0,1.0,-0.49465,27.0,1.0,0.05969,10.0,0.0,0.5543399999999999,10.015352856270217,86.82711311755453,3.172886882445468
