Actual X,Actual Y,Actual Z,Actual surface normal X,Actual surface normal Y,Materialcondition MAT
1.18646,-24.98859,-5.00000,-0.04781,0.99886,-0.01664
0.56556,-25.01049,-5.00000,-0.02271,0.99974,-0.01665
-0.04340,-25.01692,-5.00000,0.00154,1.00000,-0.01668
-0.66120,-25.00843,-5.00000,0.02591,0.99966,-0.01696
-1.28042,-24.98477,-5.00000,0.05047,0.99873,-0.01747
-1.90038,-24.94574,-5.00000,0.07523,0.99717,-0.01808
-2.50777,-24.89240,-5.00000,0.09977,0.99501,-0.01859
-3.11821,-24.82341,-5.00000,0.12486,0.99217,-0.01877
-3.73360,-24.73812,-5.00000,0.14946,0.98877,-0.01860
-4.35589,-24.63635,-5.00000,0.17328,0.98487,-0.01876
-4.95215,-24.52405,-5.00000,0.19713,0.98038,-0.01926
-5.54799,-24.39634,-5.00000,0.22188,0.97508,-0.01931
-6.13900,-24.25437,-5.00000,0.24493,0.96954,-0.01917
-6.72677,-24.09863,-5.00000,0.26761,0.96353,-0.01967
-7.31947,-23.92576,-5.00000,0.29267,0.95621,-0.02004
-7.91543,-23.73487,-5.00000,0.31688,0.94846,-0.01969
-8.49650,-23.53328,-5.00000,0.33871,0.94089,-0.01996
-9.07010,-23.31873,-5.00000,0.36233,0.93205,-0.02062
-9.64886,-23.08494,-5.00000,0.38635,0.92235,-0.02052
-10.22399,-22.83581,-5.00000,0.40846,0.91277,-0.02049
-10.79438,-22.57209,-5.00000,0.43097,0.90237,-0.02089
-11.35726,-22.29436,-5.00000,0.45405,0.89098,-0.02111
-11.90980,-22.00370,-5.00000,0.47669,0.87907,-0.02071
-12.44807,-21.70367,-5.00000,0.49682,0.86785,-0.02058
-12.97130,-21.39553,-5.00000,0.51859,0.85502,-0.02083
-13.50090,-21.06457,-5.00000,0.54062,0.84127,-0.02000
-14.01936,-20.72277,-5.00000,0.56016,0.82838,-0.01951
-14.51794,-20.37723,-5.00000,0.57939,0.81505,-0.01988
-15.00496,-20.02136,-5.00000,0.60018,0.79987,-0.01984
-15.48304,-19.65335,-5.00000,0.61959,0.78493,-0.01932
-15.96808,-19.26093,-5.00000,0.63821,0.76986,-0.01901
-16.43616,-18.86318,-5.00000,0.65699,0.75390,-0.01909
-16.88730,-18.45985,-5.00000,0.67564,0.73724,-0.01867
-17.33516,-18.03947,-5.00000,0.69302,0.72092,-0.01828
-17.77757,-17.60344,-5.00000,0.71083,0.70336,-0.01803
-18.19582,-17.17041,-5.00000,0.72762,0.68598,-0.01765
-18.60495,-16.72567,-5.00000,0.74422,0.66794,-0.01714
-19.00454,-16.26933,-5.00000,0.76025,0.64964,-0.01643
-19.40118,-15.79376,-5.00000,0.77559,0.63124,-0.01604
-19.78772,-15.30648,-5.00000,0.79135,0.61137,-0.01592
-20.14978,-14.82541,-5.00000,0.80632,0.59148,-0.01534
-20.50496,-14.32928,-5.00000,0.81957,0.57299,-0.01517
-20.85430,-13.81654,-5.00000,0.83353,0.55247,-0.01599
-21.18523,-13.30232,-5.00000,0.84792,0.53013,-0.01587
-21.50390,-12.77929,-5.00000,0.85958,0.51100,-0.01567
-21.81609,-12.23968,-5.00000,0.87183,0.48981,-0.01667
-22.11675,-11.68681,-5.00000,0.88497,0.46565,-0.01672
-22.40025,-11.13218,-5.00000,0.89564,0.44478,-0.01633
-22.66464,-10.58316,-5.00000,0.90625,0.42275,-0.01636
-22.91351,-10.03237,-5.00000,0.91618,0.40077,-0.01617
-23.15383,-9.46349,-5.00000,0.92614,0.37719,-0.01570
-23.38100,-8.88520,-5.00000,0.93511,0.35435,-0.01469
-23.59239,-8.30666,-5.00000,0.94336,0.33176,-0.01405
-23.79168,-7.71670,-5.00000,0.95132,0.30821,-0.01349
-23.97839,-7.11351,-5.00000,0.95915,0.28289,-0.01257
-24.14935,-6.50545,-5.00000,0.96576,0.25943,-0.01108
-24.30017,-5.91759,-5.00000,0.97159,0.23668,-0.01073
-24.43521,-5.33066,-5.00000,0.97729,0.21191,-0.00988
-24.55567,-4.74193,-5.00000,0.98189,0.18946,-0.00886
-24.66498,-4.13613,-5.00000,0.98626,0.16518,-0.00848
-24.75839,-3.53053,-5.00000,0.99018,0.13982,-0.00759
-24.83483,-2.93781,-5.00000,0.99324,0.11611,-0.00647
-24.89898,-2.32567,-5.00000,0.99572,0.09240,-0.00572
-24.94894,-1.70648,-5.00000,0.99766,0.06832,-0.00568
-24.98345,-1.08949,-5.00000,0.99907,0.04314,-0.00600
